timestamp(ms),accel_magnitude,gyro,gyro_x,gyro_y,gyro_z,imu_moving,test_target,test_mode,
"1769473684.159",,,,"0","-1.04",,,,
"1769473684.164",,,,,,"0",,,
"1769473684.353","1",,,,,,,,
"1769473684.356",,,"-0.49",,,,,,
"1769473684.358",,,,"-0.12","-0.49",,,,
"1769473684.36",,,,,,"0",,,
"1769473684.554","0.99",,,,,,,,
"1769473684.556",,,"0.18",,,,,,
"1769473684.56",,,,"0.18","-0.67","0",,,
"1769473684.753","1",,,,,,,,
"1769473684.756",,,"-0.85",,,,,,
"1769473684.758",,,,"0.18",,,,,
"1769473684.759",,,,,"-1.16",,,,
"1769473684.76",,,,,,"0",,,
"1769473684.954","1",,,,,,,,
"1769473684.956",,,"-0.3",,,,,,
"1769473684.958",,,,"0.37",,,,,
"1769473684.959",,,,,"-0.67",,,,
"1769473684.96",,,,,,"0",,,
"1769473685.154","1",,,,,,,,
"1769473685.157",,,"0",,,,,,
"1769473685.159",,,,"-0.18","-0.49",,,,
"1769473685.16",,,,,,"0",,,
"1769473685.353","0.98",,,,,,,,
"1769473685.356",,,"0.24",,,,,,
"1769473685.36",,,,"0.06","-0.85","0",,,
"1769473685.554","1",,,,,,,,
"1769473685.556",,,"-0.37",,,,,,
"1769473685.563",,,,"0.3","-0.79","0",,,
"1769473685.753","0.99",,,,,,,,
